今日も皆さま一日お疲れ
こちらは、島根県出雲市にある小さな牧場から配信しています。
スーパーやコンビニ、皆さんがいつでもどこでも買うことができる牛乳。
普段飲んでいる牛乳の魅力や酪農の魅力を、酪農家がお話しする放送となっております。
牧場の日常や牛の鳴き声を聞きながら、お手元に牛乳、ホットミルクを準備して聞いていただくと、
より美味しい牛乳を味わうことができると思います。
牛乳飲む?牧場配信始まりです。
はい、おはようございます。
今日が2月の27日の金曜日でございます。
今日の天気は曇りの地雨という天気ですね。
最高気温13度と昨日と変わらず、ちょっとグズつく天気になっておりますね。
大飛の注文もある程度落ち着いたんで、天気が悪くてもまあまあまあ、ということです。
今日のお仕事は策定が久々に策定士さんが来ていただけるということなので、策定の対応をしようかな、というところです。
でもまたね今週はですねあの1週間に一度の生態の日ですね好きですんではい 策定者にちょっとお任せしてねはい
僕はスタート仕事を終わらせてで8 生態の方でバギバギの体をね直していこうかなと思います
はいあのいつも来てくださっているあの ブラジル人の音方があの家で方ですかねなんかわからないですけど足を怪我した
みたいで長期休みをね 1ヶ月間ぐらい休むということなんですけどまぁまぁまぁでもねタイミーがありますから
私にははいもうタイミーの皆さんがお手伝いしてくれますから はいあのあれなんですけどもちょっとね
ちょっとちょっとイレギュラーだなと思いながら3月入っていくんですけど3月忙しいんで いやー教診会もあるしの出張もあるしなぁと思いながらはいいろいろスケジュールを悩み
まさ悩んでいるそんな感じでございますはい 今日の配信はですねえっとインスタグラムからですね dm で直接
質問がありましたのでそちらにお答えしていこうかなと思いますけれども 新規収納を夢見る方からですね熱いメッセージが届いておりますのでこちらね丁寧にお
答えしていこうかなと思います 私もですねあのら川上牧場の3代目としてやっておりますけど
無効でね来て奥さんの実家が楽のかというところなんですけども 元々は
北海道に行ってですね新規収納を言い抜きで新規収納を目指してやってろっていうような そんな夢も持ってたのではい
まあ何かアドバイスできるところもあるかなというところですけどもはい 答えていこうかなと思います今日も10分15分ぐらいの配信をやっていこうと思いますので
牛乳を飲みながら最後まで聞いていただけたらと思います 宜しくお願いしまーす
はいでは今日もですね皆さんと一緒に牛乳で乾杯していこうと思いますけれども はいえーと2月ももう今日明日ですか
27 今年は8ウル年ないから
えっ ねあともうちょっとですけど
はいぜひ皆さん牛乳を2月も飲んでいただけたらと思いますけども はい皆さんが牛乳を準備している間にですね
ちょっとお知らせをしたいなと思います 川上牧場ノートというですねブログとか記事を書いたりするアプリをやっております
毎日配信しているこの音声配信をですね 文字起こしして再構成したものを上げておりますのでぜひ皆さんこちらログインしですね
アカウント登録して読んでいただけたらと思います 記事を読んでですね面白いなぁとか川上牧場もっと応援したいなぁと思ってくださった方はですね
メンバーシップというものを作っておりますのではいこちらのメンバーシップなんと月額 牛乳日本分というね
格安価格で本当に出しておりますのでこのメンバーシップ入っていただいて継続的に 楽能応援していただくというタイルをですね
はい広げていきたいなと思ってますぜひ皆さんこちらもチェックしてみていただけたら と思いますよろしくお願いします
あと8インスタグラムの方で行っておりますハッシュタグ未来の牛乳とを称しまして皆さんの こんな牛乳あったらいいなこんな牛製品食べてみたいなというものですね
デジタルアートにして販売しております こちらのデジタルアートの売上は川上が子供食堂に牛乳を支援したりだとか
小中高の職域活動に参加した際の活動品あってさせていただこうと思っておりますので ぜひ皆さんご支援よろしくお願いします
皆さんのご支援が子供たちの未来の牛乳を作っていくというそんな特別なデジタルアート 体験となっておりますのでぜひこちらの方もチェックしてみてください
はいお知らせでお話ししているものはですね概要欄の方に a url のリンクとか ノートの記事とか書いておりますので
隅から隅までね読んでいただけたらと思いますよろしくお願いします はいでは今日も皆さんと一緒に牛で乾杯していますカンパーイ
いただきまーすあー美味しい 今日も牛乳飲んでいただいてありがとうございます
はい 確定申告のですね税理さんから昨日ね
電話がありましてはいもうこれで完璧ですよというね はいもう出しておきますよ税理税務署に出しておきましょう
もう今日今年はこれで終わりだという感じですねほんとに方のにはおりました 2月中に終わってよかった
よかったですねはい税理士さんからお褒めの言葉をいただき今年はうまいことやってます っていうお褒めの言葉をいただきました
ai の力ですありがとうございますはい ai でもう本当に楽能経営もかなり楽になりますから
はいぜひ皆さんね楽能ディレクションビット こちらをね参加していただけたと思う参加者でアーカイブチケットで
買う購入していただけたら嬉しいなと思うところですけどはいではですね今日も 皆さんからの質問コメントにお答えするお便りのコーナーやっていこうかなと思います
ハグ sns 音声配信きた質問にお答えするコーナーとなっております 今日の質問はティックトックの方から来ましたティックトックの dm でね
直接質問していただきました ちょっとね熱意のある長文のコメントになっておりますので
はい読み上げていこうかなと思いますはい a
ティックトックネーム五木さんのご質問ですね 質問です
a 私は何々住んでいますとはい日農家ですが放牧楽能を志しています
現在は会社員で週末に近くの牧場に手伝いに行ったり 九州の牧場を訪ねたりしていますとはい
楽能を志した理由は北海道の知人が放牧楽能で新規収納して牛乳を絞るためには たくさん毎年の出産が必要なこと
草だけを食べていると思っていたけど入料を出すために配合資料を食べていること 資料餌は輸入の割合が非常に高いことを初めて知りました
毎日牛乳を飲んだりお肉を食べていますが考えたこともない世界でした いただきますというものもそこまで食事の裏側に起こっていることを知りませんでした
正直知ろうともしていなかったのもあると思いますが 今の日本では食べ物の背景を考える知る場所があまりにもなさすぎると考えております
そういう場所を作りたいです 子どもたちには説明してもわかるかわかりませんが
動物と触れ合った経験は将来思い出し考えるきっかけの一つになると思います 輸入資料に頼りず夫婦2人でできる形で楽能を考えた際に
放牧楽能がベストではないかと考えました アウトサイダーになりたいというよりは安定して入料も取れるなら
かなり珍しい形ですが放牧楽能でインサイダーでいたいです 安定して収益も得られると考えているので
川上さんの毎日の牧場配信も畜産業界の閉鎖感を打破できる素晴らしい取り組みだと思います 取り組みによって楽能に興味を持つことも非常に多いと思います
新規収納するにあたり研修先を夫婦で探し楽能家を訪ねていますが 非農家の新規収納は無理とか現実的ではないとかネガティブなことをよく言われます
確かに初期投資ノウハウの習得経営退避などのハードルの高さは身をもって実感しています 農業はある程度ノウハウが確立されているけれど
楽能は一見たりと同じ牧場はないとよく思います なら非農家だからこそできる牧場づくりを目指していきたいです
牛飼いだけを知っている人もいてもいいし 外の世界を知っている人がいても面白いと思います
